Quarter_Info_y_x,Period,polarity_Beige_book_x,PCEPI_PCH,CPIAUCSL_PCH,LNS11027662_PCH,FEDFUNDS_PCH,GCEC1_PCH_x,Homes_Sold_x,Goods,Nonresidential,Exports,Nondefense,MORTMRGN5US_PCH,PPIACO_PCH,MORTGAGE5US_PCH_x
2005Q2,5/1/2005,0.101828791,0.63149,0.67579,0.76271,-6.23543,-0.05775,0.020634921,0.014776014,0.016164529,0.022303283,-0.008151118,0.0276,2.69629,0.2548
2005Q3,6/1/2005,0.112503834,1.07945,1.51463,1.01169,-2.23741,0.33054,-0.00933126,0.009528009,0.020848892,-0.000203894,0.012798687,-0.08278,3.52867,2.79563
2005Q4,7/1/2005,0.103395499,0.79645,0.93252,0.87908,1.20788,0.0782,0.090266876,-0.002109188,0.007730293,0.030998267,0.014729001,-0.24855,-0.93325,8.15881
2006Q1,8/1/2005,0.106855802,0.5197,0.52075,0.17892,-0.50251,1.26981,-0.096472282,0.020698784,0.033539426,0.04050751,0.032712842,0.08306,1.61786,3.02541
2006Q2,9/1/2005,0.109926159,0.87727,0.90241,1.00301,-0.06313,-0.03047,-0.00876494,0.001453732,0.017489844,0.018507957,-0.016340284,-0.30429,0.78597,5.55991
2006Q3,10/1/2005,0.087180833,0.71984,0.94402,1.10041,4.67467,-0.14525,0.073954984,0.008793275,0.017143186,-0.001333209,0.010910243,-0.52719,-1.53969,-0.27201
2006Q4,11/1/2005,0.090304218,-0.16542,-0.41017,1.44214,0.18105,0.82228,-0.091317365,0.014016998,0.010598948,0.037953729,-0.013357162,0.05579,1.56377,-3.00025
2007Q1,12/1/2005,0.089988136,0.91426,0.9804,0.83281,-0.48193,0.13862,0.020593081,0.00702392,0.018009447,0.019832797,-0.001870148,0,3.67926,-0.80521
2007Q2,1/1/2006,0.079416401,0.84892,1.13255,0.65647,0.24213,0.91417,-0.052461663,0.002341873,0.022187771,0.015133935,0.005326357,0.19515,0.48216,1.48177
2007Q3,2/1/2006,0.074373739,0.56544,0.63301,0.85923,-0.36232,0.4572,-0.096252129,0.006291089,0.015693403,0.031245341,0.013210179,-0.13912,2.16891,3.85983
2007Q4,3/1/2006,0.07747236,1.01672,1.22664,0.00526,0.60606,0.78912,0.051837889,0.001970008,0.015419155,0.022937825,0.014449329,-0.13931,3.62577,-5.40342
2008Q1,4/1/2006,0.06465406,0.81353,1.08319,1.81199,-12.16867,0.23451,0.006272401,-0.016431266,0.003973551,0.015922554,0.012920663,-0.22321,6.59898,-8.74903
2008Q2,5/1/2006,0.064978128,0.97413,1.30094,-0.48592,-2.60631,0.86572,-0.032947462,-0.001499235,0.002025658,0.029352098,0.027526964,0.25168,2.27891,4.23453
2008Q3,6/1/2006,0.057496609,1.06674,1.54188,0.50981,0.28169,0.80904,-0.011049724,-0.020959521,-0.018670952,-0.004493496,-0.0050292,-0.72524,-11.19056,4.95924
2008Q4,7/1/2006,0.049965666,-1.5965,-2.29019,0.22002,7.30337,0.68299,-0.101489758,-0.030474382,-0.058230068,-0.058860129,0.009327372,0.21475,-4.77439,-0.69995
2009Q1,8/1/2006,0.040445287,-0.67579,-0.68787,-0.21143,4.18848,1.14092,0.07253886,0.000247498,-0.075336242,-0.079862488,0.032447766,-0.67691,1.06174,-12.65182
2009Q2,9/1/2006,0.046020594,0.39773,0.53176,0.70873,6.97236,1.46236,-0.018357488,-0.006433359,-0.030425447,0.006597082,0.020078411,0.63514,1.4786,-4.94621
2009Q3,10/1/2006,0.051712657,0.68909,0.86039,0.83716,10.51086,0.27323,-0.073818898,0.017432732,-0.005830612,0.03697407,0.01186172,-0.08415,1.74463,-4.4434
2009Q4,11/1/2006,0.048551731,0.77168,0.78293,0.50961,3.93199,0.1793,0.065887354,-0.005353057,0.006670274,0.056143073,0.021520568,0.05214,2.92067,-7.38698
